DocID,TokenID,Token,Tag
S0022311514001640,S0022311514001640-93,.,O
S0022311514001640,S0022311514001640-94,The,O
S0022311514001640,S0022311514001640-95,partial,B
S0022311514001640,S0022311514001640-96,pressure,L
S0022311514001640,S0022311514001640-97,in,O
S0022311514001640,S0022311514001640-98,thermodynamic,O
S0022311514001640,S0022311514001640-99,equilibrium,O
S0022311514001640,S0022311514001640-100,of,O
S0022311514001640,S0022311514001640-101,gaseous,B
S0022311514001640,S0022311514001640-102,carbon,L
S0022311514001640,S0022311514001640-103,forming,O
S0022311514001640,S0022311514001640-104,above,O
S0022311514001640,S0022311514001640-105,graphite,U
S0022311514001640,S0022311514001640-106,was,O
S0022311514001640,S0022311514001640-107,calculated,O
S0022311514001640,S0022311514001640-108,using,O
S0022311514001640,S0022311514001640-109,data,B
S0022311514001640,S0022311514001640-110,taken,I
S0022311514001640,S0022311514001640-111,from,I
S0022311514001640,S0022311514001640-112,JANAF,I
S0022311514001640,S0022311514001640-113,tables,L
S0022311514001640,S0022311514001640-114,and,O
S0022311514001640,S0022311514001640-115,added,O
S0022311514001640,S0022311514001640-116,to,O
S0022311514001640,S0022311514001640-117,Fig,O
S0022311514001640,S0022311514001640-118,.,O
S0022311514001640,S0022311514001640-119,1,O
S0022311514001640,S0022311514001640-120,[,O
S0022311514001640,S0022311514001640-121,25,O
S0022311514001640,S0022311514001640-122,],O
S0022311514001640,S0022311514001640-123,",",O
S0022311514001640,S0022311514001640-124,which,O
S0022311514001640,S0022311514001640-125,showed,O
S0022311514001640,S0022311514001640-126,that,O
S0022311514001640,S0022311514001640-127,in,O
S0022311514001640,S0022311514001640-128,the,O
S0022311514001640,S0022311514001640-129,whole,O
S0022311514001640,S0022311514001640-130,temperature,O
S0022311514001640,S0022311514001640-131,range,O
S0022311514001640,S0022311514001640-132,relevant,O
S0022311514001640,S0022311514001640-133,for,O
S0022311514001640,S0022311514001640-134,this,O
S0022311514001640,S0022311514001640-135,study,O
S0022311514001640,S0022311514001640-136,the,O
S0022311514001640,S0022311514001640-137,vapour,B
S0022311514001640,S0022311514001640-138,pressure,I
S0022311514001640,S0022311514001640-139,of,I
S0022311514001640,S0022311514001640-140,carbon,L
S0022311514001640,S0022311514001640-141,is,O
S0022311514001640,S0022311514001640-142,several,O
S0022311514001640,S0022311514001640-143,magnitudes,O
S0022311514001640,S0022311514001640-144,smaller,O
S0022311514001640,S0022311514001640-145,than,O
S0022311514001640,S0022311514001640-146,that,O
S0022311514001640,S0022311514001640-147,of,O
S0022311514001640,S0022311514001640-148,the,O
S0022311514001640,S0022311514001640-149,dominant,O
S0022311514001640,S0022311514001640-150,gas,U
S0022311514001640,S0022311514001640-151,phases,O
S0022311514001640,S0022311514001640-152,above,O
S0022311514001640,S0022311514001640-153,SiC,U
S0022311514001640,S0022311514001640-154,.,O
S0370269304009104,S0370269304009104-0,Though,O
S0370269304009104,S0370269304009104-1,",",O
S0370269304009104,S0370269304009104-2,in,O
S0370269304009104,S0370269304009104-3,this,O
S0370269304009104,S0370269304009104-4,Letter,O
S0370269304009104,S0370269304009104-5,we,O
S0370269304009104,S0370269304009104-6,have,O
S0370269304009104,S0370269304009104-7,constructed,B
S0370269304009104,S0370269304009104-8,the,I
S0370269304009104,S0370269304009104-9,Born–Infeld,I
S0370269304009104,S0370269304009104-10,black,I
S0370269304009104,S0370269304009104-11,holes,I
S0370269304009104,S0370269304009104-12,in,I
S0370269304009104,S0370269304009104-13,the,I
S0370269304009104,S0370269304009104-14,presence,I
S0370269304009104,S0370269304009104-15,of,I
S0370269304009104,S0370269304009104-16,a,I
S0370269304009104,S0370269304009104-17,cosmological,I
S0370269304009104,S0370269304009104-18,constant,L
S0370269304009104,S0370269304009104-19,and,O
S0370269304009104,S0370269304009104-20,discussed,B
S0370269304009104,S0370269304009104-21,their,I
S0370269304009104,S0370269304009104-22,thermodynamical,I
S0370269304009104,S0370269304009104-23,properties,L
S0370269304009104,S0370269304009104-24,",",O
S0370269304009104,S0370269304009104-25,many,O
S0370269304009104,S0370269304009104-26,issues,O
S0370269304009104,S0370269304009104-27,however,O
S0370269304009104,S0370269304009104-28,still,O
S0370269304009104,S0370269304009104-29,remain,O
S0370269304009104,S0370269304009104-30,to,O
S0370269304009104,S0370269304009104-31,be,O
S0370269304009104,S0370269304009104-32,investigated,O
S0370269304009104,S0370269304009104-33,.,O
S0370269304009104,S0370269304009104-34,We,O
S0370269304009104,S0370269304009104-35,know,O
S0370269304009104,S0370269304009104-36,that,O
S0370269304009104,S0370269304009104-37,Reissner–Nordström,B
S0370269304009104,S0370269304009104-38,AdS,I
S0370269304009104,S0370269304009104-39,black,I
S0370269304009104,S0370269304009104-40,holes,L
S0370269304009104,S0370269304009104-41,undergo,O
S0370269304009104,S0370269304009104-42,Hawking–Page,B
S0370269304009104,S0370269304009104-43,phase,I
S0370269304009104,S0370269304009104-44,transition,L
S0370269304009104,S0370269304009104-45,.,O
S0370269304009104,S0370269304009104-46,This,O
S0370269304009104,S0370269304009104-47,transition,O
S0370269304009104,S0370269304009104-48,gets,O
S0370269304009104,S0370269304009104-49,modified,O
S0370269304009104,S0370269304009104-50,as,O
S0370269304009104,S0370269304009104-51,we,O
S0370269304009104,S0370269304009104-52,include,O
S0370269304009104,S0370269304009104-53,Born–Infeld,B
S0370269304009104,S0370269304009104-54,corrections,L
S0370269304009104,S0370269304009104-55,into,O
S0370269304009104,S0370269304009104-56,account,O
S0370269304009104,S0370269304009104-57,.,O
S0370269304009104,S0370269304009104-58,We,O
S0370269304009104,S0370269304009104-59,hope,O
S0370269304009104,S0370269304009104-60,to,O
S0370269304009104,S0370269304009104-61,carry,O
S0370269304009104,S0370269304009104-62,out,O
S0370269304009104,S0370269304009104-63,a,O
S0370269304009104,S0370269304009104-64,detail,O
S0370269304009104,S0370269304009104-65,study,O
S0370269304009104,S0370269304009104-66,on,O
S0370269304009104,S0370269304009104-67,this,O
S0370269304009104,S0370269304009104-68,issue,O
S0370269304009104,S0370269304009104-69,in,O
S0370269304009104,S0370269304009104-70,the,O
S0370269304009104,S0370269304009104-71,future,O
S0370269304009104,S0370269304009104-72,.,O
S0370269304009104,S0370269304009104-73,Furthermore,O
S0370269304009104,S0370269304009104-74,",",O
S0370269304009104,S0370269304009104-75,in,O
S0370269304009104,S0370269304009104-76,the,O
S0370269304009104,S0370269304009104-77,context,O
S0370269304009104,S0370269304009104-78,of,O
S0370269304009104,S0370269304009104-79,brane,B
S0370269304009104,S0370269304009104-80,world,I
S0370269304009104,S0370269304009104-81,cosmology,L
S0370269304009104,S0370269304009104-82,",",O
S0370269304009104,S0370269304009104-83,it,O
S0370269304009104,S0370269304009104-84,was,O
S0370269304009104,S0370269304009104-85,found,O
S0370269304009104,S0370269304009104-86,that,O
S0370269304009104,S0370269304009104-87,a,O
S0370269304009104,S0370269304009104-88,brane,U
S0370269304009104,S0370269304009104-89,moving,O
S0370269304009104,S0370269304009104-90,in,O
S0370269304009104,S0370269304009104-91,a,O
S0370269304009104,S0370269304009104-92,Reissner–Nordström,B
S0370269304009104,S0370269304009104-93,AdS,I
S0370269304009104,S0370269304009104-94,background,L
S0370269304009104,S0370269304009104-95,generates,O
S0370269304009104,S0370269304009104-96,non-singular,B
S0370269304009104,S0370269304009104-97,cosmology,L
S0370269304009104,S0370269304009104-98,[,O
S0370269304009104,S0370269304009104-99,14,O
S0370269304009104,S0370269304009104-100,],O
S0370269304009104,S0370269304009104-101,.,O
S0370269304009104,S0370269304009104-102,However,O
S0370269304009104,S0370269304009104-103,",",O
S0370269304009104,S0370269304009104-104,as,O
S0370269304009104,S0370269304009104-105,shown,O
S0370269304009104,S0370269304009104-106,in,O
S0370269304009104,S0370269304009104-107,[,O
S0370269304009104,S0370269304009104-108,15,O
S0370269304009104,S0370269304009104-109,],O
S0370269304009104,S0370269304009104-110,",",O
S0370269304009104,S0370269304009104-111,the,O
S0370269304009104,S0370269304009104-112,brane,U
S0370269304009104,S0370269304009104-113,always,O
S0370269304009104,S0370269304009104-114,crosses,B
S0370269304009104,S0370269304009104-115,the,I
S0370269304009104,S0370269304009104-116,inner,I
S0370269304009104,S0370269304009104-117,horizon,I
S0370269304009104,S0370269304009104-118,of,I
S0370269304009104,S0370269304009104-119,the,I
S0370269304009104,S0370269304009104-120,bulk,I
S0370269304009104,S0370269304009104-121,geometry,L
S0370269304009104,S0370269304009104-122,",",O
S0370269304009104,S0370269304009104-123,creating,O
S0370269304009104,S0370269304009104-124,an,O
S0370269304009104,S0370269304009104-125,instability,U
S0370269304009104,S0370269304009104-126,.,O
S0370269304009104,S0370269304009104-127,It,O
S0370269304009104,S0370269304009104-128,would,O
S0370269304009104,S0370269304009104-129,be,O
S0370269304009104,S0370269304009104-130,interesting,O
S0370269304009104,S0370269304009104-131,to,O
S0370269304009104,S0370269304009104-132,study,B
S0370269304009104,S0370269304009104-133,cosmology,I
S0370269304009104,S0370269304009104-134,on,I
S0370269304009104,S0370269304009104-135,the,I
S0370269304009104,S0370269304009104-136,brane,I
S0370269304009104,S0370269304009104-137,when,I
S0370269304009104,S0370269304009104-138,it,I
S0370269304009104,S0370269304009104-139,is,I
S0370269304009104,S0370269304009104-140,moving,I
S0370269304009104,S0370269304009104-141,in,I
S0370269304009104,S0370269304009104-142,the,I
S0370269304009104,S0370269304009104-143,charged,I
S0370269304009104,S0370269304009104-144,black,I
S0370269304009104,S0370269304009104-145,hole,I
S0370269304009104,S0370269304009104-146,backgrounds,L
S0370269304009104,S0370269304009104-147,that,O
S0370269304009104,S0370269304009104-148,we,O
S0370269304009104,S0370269304009104-149,have,O
S0370269304009104,S0370269304009104-150,constructed,O
S0370269304009104,S0370269304009104-151,.,O
S0370269304009104,S0370269304009104-152,Note,O
S0370269304009104,S0370269304009104-153,that,O
S0370269304009104,S0370269304009104-154,since,O
S0370269304009104,S0370269304009104-155,these,O
S0370269304009104,S0370269304009104-156,charged,B
S0370269304009104,S0370269304009104-157,holes,L
S0370269304009104,S0370269304009104-158,does,O
S0370269304009104,S0370269304009104-159,not,O
S0370269304009104,S0370269304009104-160,have,O
S0370269304009104,S0370269304009104-161,inner,O
S0370269304009104,S0370269304009104-162,horizon,O
S0370269304009104,S0370269304009104-163,for,O
S0370269304009104,S0370269304009104-164,certain,O
S0370269304009104,S0370269304009104-165,range,O
S0370269304009104,S0370269304009104-166,of,O
S0370269304009104,S0370269304009104-167,parameters,O
S0370269304009104,S0370269304009104-168,",",O
S0370269304009104,S0370269304009104-169,we,O
S0370269304009104,S0370269304009104-170,may,O
S0370269304009104,S0370269304009104-171,generate,B
S0370269304009104,S0370269304009104-172,non-singular,I
S0370269304009104,S0370269304009104-173,cosmology,I
S0370269304009104,S0370269304009104-174,without,I
S0370269304009104,S0370269304009104-175,creating,I
S0370269304009104,S0370269304009104-176,the,I
S0370269304009104,S0370269304009104-177,instabilities,L
S0370269304009104,S0370269304009104-178,that,O
S0370269304009104,S0370269304009104-179,we,O
S0370269304009104,S0370269304009104-180,have,O
S0370269304009104,S0370269304009104-181,just,O
S0370269304009104,S0370269304009104-182,mentioned,O
S0370269304009104,S0370269304009104-183,.,O
S0895611116300684,S0895611116300684-0,In,O
S0895611116300684,S0895611116300684-1,the,O
S0895611116300684,S0895611116300684-2,case,O
S0895611116300684,S0895611116300684-3,of,O
S0895611116300684,S0895611116300684-4,PSR,B
S0895611116300684,S0895611116300684-5,applied,I
S0895611116300684,S0895611116300684-6,to,I
S0895611116300684,S0895611116300684-7,vessels,L
S0895611116300684,S0895611116300684-8,",",O
S0895611116300684,S0895611116300684-9,preservation,O
S0895611116300684,S0895611116300684-10,of,O
S0895611116300684,S0895611116300684-11,high,O
S0895611116300684,S0895611116300684-12,curvature,O
S0895611116300684,S0895611116300684-13,and,O
S0895611116300684,S0895611116300684-14,branches,O
S0895611116300684,S0895611116300684-15,(,O
S0895611116300684,S0895611116300684-16,concavities,O
S0895611116300684,S0895611116300684-17,),O
S0895611116300684,S0895611116300684-18,demands,O
S0895611116300684,S0895611116300684-19,a,O
S0895611116300684,S0895611116300684-20,high,O
S0895611116300684,S0895611116300684-21,value,O
S0895611116300684,S0895611116300684-22,of,O
S0895611116300684,S0895611116300684-23,the,O
S0895611116300684,S0895611116300684-24,d,O
S0895611116300684,S0895611116300684-25,parameter,O
S0895611116300684,S0895611116300684-26,",",O
S0895611116300684,S0895611116300684-27,resulting,O
S0895611116300684,S0895611116300684-28,in,O
S0895611116300684,S0895611116300684-29,models,O
S0895611116300684,S0895611116300684-30,with,O
S0895611116300684,S0895611116300684-31,high,O
S0895611116300684,S0895611116300684-32,number,O
S0895611116300684,S0895611116300684-33,of,O
S0895611116300684,S0895611116300684-34,polygons,O
S0895611116300684,S0895611116300684-35,.,O
S0895611116300684,S0895611116300684-36,To,O
S0895611116300684,S0895611116300684-37,cope,O
S0895611116300684,S0895611116300684-38,with,O
S0895611116300684,S0895611116300684-39,this,O
S0895611116300684,S0895611116300684-40,problem,O
S0895611116300684,S0895611116300684-41,",",O
S0895611116300684,S0895611116300684-42,Wu,O
S0895611116300684,S0895611116300684-43,et,O
S0895611116300684,S0895611116300684-44,al,O
S0895611116300684,S0895611116300684-45,.,O
S0895611116300684,S0895611116300684-46,(,O
S0895611116300684,S0895611116300684-47,2013,O
S0895611116300684,S0895611116300684-48,),O
S0895611116300684,S0895611116300684-49,evaluates,O
S0895611116300684,S0895611116300684-50,a,O
S0895611116300684,S0895611116300684-51,variant,O
S0895611116300684,S0895611116300684-52,of,O
S0895611116300684,S0895611116300684-53,PSR,U
S0895611116300684,S0895611116300684-54,(,O
S0895611116300684,S0895611116300684-55,in,O
S0895611116300684,S0895611116300684-56,that,O
S0895611116300684,S0895611116300684-57,work,O
S0895611116300684,S0895611116300684-58,referred,O
S0895611116300684,S0895611116300684-59,to,O
S0895611116300684,S0895611116300684-60,as,O
S0895611116300684,S0895611116300684-61,scale-adaptive,U
S0895611116300684,S0895611116300684-62,[,O
S0895611116300684,S0895611116300684-63,SA,U
S0895611116300684,S0895611116300684-64,],O
S0895611116300684,S0895611116300684-65,),O
S0895611116300684,S0895611116300684-66,",",O
S0895611116300684,S0895611116300684-67,which,O
S0895611116300684,S0895611116300684-68,includes,O
S0895611116300684,S0895611116300684-69,curvature-dependent,B
S0895611116300684,S0895611116300684-70,polygonization,L
S0895611116300684,S0895611116300684-71,(,O
S0895611116300684,S0895611116300684-72,e.g,O
S0895611116300684,S0895611116300684-73,.,O
S0895611116300684,S0895611116300684-74,increasing/decreasing,B
S0895611116300684,S0895611116300684-75,the,I
S0895611116300684,S0895611116300684-76,size,I
S0895611116300684,S0895611116300684-77,of,I
S0895611116300684,S0895611116300684-78,triangles,I
S0895611116300684,S0895611116300684-79,according,I
S0895611116300684,S0895611116300684-80,to,I
S0895611116300684,S0895611116300684-81,the,I
S0895611116300684,S0895611116300684-82,local,I
S0895611116300684,S0895611116300684-83,curvature,L
S0895611116300684,S0895611116300684-84,),O
S0895611116300684,S0895611116300684-85,(,O
S0895611116300684,S0895611116300684-86,Wu,O
S0895611116300684,S0895611116300684-87,et,O
S0895611116300684,S0895611116300684-88,al.,O
S0895611116300684,S0895611116300684-89,",",O
S0895611116300684,S0895611116300684-90,2010,O
S0895611116300684,S0895611116300684-91,),O
S0895611116300684,S0895611116300684-92,.,O
S0895611116300684,S0895611116300684-93,In,O
S0895611116300684,S0895611116300684-94,Wu,O
S0895611116300684,S0895611116300684-95,et,O
S0895611116300684,S0895611116300684-96,al,O
S0895611116300684,S0895611116300684-97,.,O
S0895611116300684,S0895611116300684-98,(,O
S0895611116300684,S0895611116300684-99,2013,O
S0895611116300684,S0895611116300684-100,),O
S0895611116300684,S0895611116300684-101,",",O
S0895611116300684,S0895611116300684-102,other,O
S0895611116300684,S0895611116300684-103,methods,O
S0895611116300684,S0895611116300684-104,including,O
S0895611116300684,S0895611116300684-105,MC,U
S0895611116300684,S0895611116300684-106,(,O
S0895611116300684,S0895611116300684-107,without,O
S0895611116300684,S0895611116300684-108,smoothing,O
S0895611116300684,S0895611116300684-109,and,O
S0895611116300684,S0895611116300684-110,decimation,O
S0895611116300684,S0895611116300684-111,),O
S0895611116300684,S0895611116300684-112,are,O
S0895611116300684,S0895611116300684-113,evaluated,O
S0895611116300684,S0895611116300684-114,with,O
S0895611116300684,S0895611116300684-115,application,O
S0895611116300684,S0895611116300684-116,to,O
S0895611116300684,S0895611116300684-117,vessel,B
S0895611116300684,S0895611116300684-118,modeling,L
S0895611116300684,S0895611116300684-119,.,O
S0895611116300684,S0895611116300684-120,The,O
S0895611116300684,S0895611116300684-121,authors,O
S0895611116300684,S0895611116300684-122,",",O
S0895611116300684,S0895611116300684-123,point,O
S0895611116300684,S0895611116300684-124,at,O
S0895611116300684,S0895611116300684-125,SA,U
S0895611116300684,S0895611116300684-126,as,O
S0895611116300684,S0895611116300684-127,a,O
S0895611116300684,S0895611116300684-128,suitable,O
S0895611116300684,S0895611116300684-129,method,O
S0895611116300684,S0895611116300684-130,for,O
S0895611116300684,S0895611116300684-131,reconstruction,B
S0895611116300684,S0895611116300684-132,of,I
S0895611116300684,S0895611116300684-133,vessels,L
S0895611116300684,S0895611116300684-134,with,O
S0895611116300684,S0895611116300684-135,applications,O
S0895611116300684,S0895611116300684-136,to,O
S0895611116300684,S0895611116300684-137,surgery,B
S0895611116300684,S0895611116300684-138,planning,L
S0895611116300684,S0895611116300684-139,.,O
S0895611116300684,S0895611116300684-140,The,O
S0895611116300684,S0895611116300684-141,methods,O
S0895611116300684,S0895611116300684-142,evaluated,O
S0895611116300684,S0895611116300684-143,by,O
S0895611116300684,S0895611116300684-144,Wu,O
S0895611116300684,S0895611116300684-145,et,O
S0895611116300684,S0895611116300684-146,al,O
S0895611116300684,S0895611116300684-147,.,O
S0895611116300684,S0895611116300684-148,(,O
S0895611116300684,S0895611116300684-149,2013,O
S0895611116300684,S0895611116300684-150,),O
S0895611116300684,S0895611116300684-151,could,O
S0895611116300684,S0895611116300684-152,be,O
S0895611116300684,S0895611116300684-153,also,O
S0895611116300684,S0895611116300684-154,compared,O
S0895611116300684,S0895611116300684-155,with,O
S0895611116300684,S0895611116300684-156,another,O
S0895611116300684,S0895611116300684-157,set,O
S0895611116300684,S0895611116300684-158,of,O
S0895611116300684,S0895611116300684-159,techniques,O
S0895611116300684,S0895611116300684-160,(,O
S0895611116300684,S0895611116300684-161,known,O
S0895611116300684,S0895611116300684-162,as,O
S0895611116300684,S0895611116300684-163,model-based,B
S0895611116300684,S0895611116300684-164,methods,L
S0895611116300684,S0895611116300684-165,),O
S0895611116300684,S0895611116300684-166,(,O
S0895611116300684,S0895611116300684-167,Preim,O
S0895611116300684,S0895611116300684-168,and,O
S0895611116300684,S0895611116300684-169,Oeltze,O
S0895611116300684,S0895611116300684-170,",",O
S0895611116300684,S0895611116300684-171,2008,O
S0895611116300684,S0895611116300684-172,),O
S0895611116300684,S0895611116300684-173,",",O
S0895611116300684,S0895611116300684-174,widely,O
S0895611116300684,S0895611116300684-175,used,O
S0895611116300684,S0895611116300684-176,in,O
S0895611116300684,S0895611116300684-177,the,O
S0895611116300684,S0895611116300684-178,context,O
S0895611116300684,S0895611116300684-179,of,O
S0895611116300684,S0895611116300684-180,vessel,B
S0895611116300684,S0895611116300684-181,modeling,I
S0895611116300684,S0895611116300684-182,for,I
S0895611116300684,S0895611116300684-183,surgery,I
S0895611116300684,S0895611116300684-184,planning,L
S0895611116300684,S0895611116300684-185,.,O
S0010938X15002954,S0010938X15002954-0,There,O
S0010938X15002954,S0010938X15002954-1,have,O
S0010938X15002954,S0010938X15002954-2,been,O
S0010938X15002954,S0010938X15002954-3,relatively,O
S0010938X15002954,S0010938X15002954-4,few,O
S0010938X15002954,S0010938X15002954-5,attempts,O
S0010938X15002954,S0010938X15002954-6,to,O
S0010938X15002954,S0010938X15002954-7,observe,O
S0010938X15002954,S0010938X15002954-8,and,O
S0010938X15002954,S0010938X15002954-9,in,O
S0010938X15002954,S0010938X15002954-10,some,O
S0010938X15002954,S0010938X15002954-11,cases,O
S0010938X15002954,S0010938X15002954-12,extract,O
S0010938X15002954,S0010938X15002954-13,the,O
S0010938X15002954,S0010938X15002954-14,average,O
S0010938X15002954,S0010938X15002954-15,current,O
S0010938X15002954,S0010938X15002954-16,density,O
S0010938X15002954,S0010938X15002954-17,from,O
S0010938X15002954,S0010938X15002954-18,video,B
S0010938X15002954,S0010938X15002954-19,images,L
S0010938X15002954,S0010938X15002954-20,taken,O
S0010938X15002954,S0010938X15002954-21,of,O
S0010938X15002954,S0010938X15002954-22,growing,O
S0010938X15002954,S0010938X15002954-23,2D,B
S0010938X15002954,S0010938X15002954-24,pits,L
S0010938X15002954,S0010938X15002954-25,.,O
S0010938X15002954,S0010938X15002954-26,Frankel,O
S0010938X15002954,S0010938X15002954-27,presented,O
S0010938X15002954,S0010938X15002954-28,a,O
S0010938X15002954,S0010938X15002954-29,method,O
S0010938X15002954,S0010938X15002954-30,to,O
S0010938X15002954,S0010938X15002954-31,directly,O
S0010938X15002954,S0010938X15002954-32,measure,O
S0010938X15002954,S0010938X15002954-33,the,O
S0010938X15002954,S0010938X15002954-34,average,O
S0010938X15002954,S0010938X15002954-35,anodic,B
S0010938X15002954,S0010938X15002954-36,current,L
S0010938X15002954,S0010938X15002954-37,density,O
S0010938X15002954,S0010938X15002954-38,from,O
S0010938X15002954,S0010938X15002954-39,the,O
S0010938X15002954,S0010938X15002954-40,growing,O
S0010938X15002954,S0010938X15002954-41,pit,U
S0010938X15002954,S0010938X15002954-42,boundary,O
S0010938X15002954,S0010938X15002954-43,velocity,O
S0010938X15002954,S0010938X15002954-44,in,O
S0010938X15002954,S0010938X15002954-45,Al,U
S0010938X15002954,S0010938X15002954-46,[,O
S0010938X15002954,S0010938X15002954-47,33,O
S0010938X15002954,S0010938X15002954-48,],O
S0010938X15002954,S0010938X15002954-49,",",O
S0010938X15002954,S0010938X15002954-50,an,O
S0010938X15002954,S0010938X15002954-51,Al,B
S0010938X15002954,S0010938X15002954-52,alloy,L
S0010938X15002954,S0010938X15002954-53,[,O
S0010938X15002954,S0010938X15002954-54,34,O
S0010938X15002954,S0010938X15002954-55,],O
S0010938X15002954,S0010938X15002954-56,and,O
S0010938X15002954,S0010938X15002954-57,Ni–Fe,B
S0010938X15002954,S0010938X15002954-58,[,I
S0010938X15002954,S0010938X15002954-59,35,I
S0010938X15002954,S0010938X15002954-60,],I
S0010938X15002954,S0010938X15002954-61,thin,I
S0010938X15002954,S0010938X15002954-62,films,L
S0010938X15002954,S0010938X15002954-63,.,O
S0010938X15002954,S0010938X15002954-64,Subsequently,O
S0010938X15002954,S0010938X15002954-65,",",O
S0010938X15002954,S0010938X15002954-66,Ryan,O
S0010938X15002954,S0010938X15002954-67,et,O
S0010938X15002954,S0010938X15002954-68,al,O
S0010938X15002954,S0010938X15002954-69,.,O
S0010938X15002954,S0010938X15002954-70,[,O
S0010938X15002954,S0010938X15002954-71,"27,36",O
S0010938X15002954,S0010938X15002954-72,],O
S0010938X15002954,S0010938X15002954-73,determined,O
S0010938X15002954,S0010938X15002954-74,the,O
S0010938X15002954,S0010938X15002954-75,anodic,O
S0010938X15002954,S0010938X15002954-76,current,O
S0010938X15002954,S0010938X15002954-77,density,O
S0010938X15002954,S0010938X15002954-78,in,O
S0010938X15002954,S0010938X15002954-79,pits,U
S0010938X15002954,S0010938X15002954-80,propagating,O
S0010938X15002954,S0010938X15002954-81,as,O
